STATE_UT,DISTRICT,YEAR,LATITUDE,LONGITUDE,TOTAL_IPC_CRIMES,VIOLENT_CRIMES,PROPERTY_CRIMES,WOMEN_CRIMES,ECONOMIC_CRIMES,OTHER_CRIMES,VIOLENT_CRIME_RATIO,PROPERTY_CRIME_RATIO,WOMEN_CRIME_RATIO,ECONOMIC_CRIME_RATIO,DISTRICT_RISK_SCORE,STATE_RISK_SCORE,HIGH_SEVERITY_FLAG,LOCATION_CLUSTER
Jammu & Kashmir,Baramulla,2001,34.0082,76.8062,1533,487,426,149,51,420,0.3177,0.2779,0.0972,0.0333,1446.43,835.84,1,3
Jammu & Kashmir,Border,2001,33.9582,76.7562,708,82,62,42,18,504,0.1158,0.0876,0.0593,0.0254,690.2,835.84,0,3
Jammu & Kashmir,Budgam,2001,33.7632,76.5612,812,269,253,49,19,222,0.3313,0.3116,0.0603,0.0234,1136.93,835.84,1,3
Jammu & Kashmir,Crime Jammu,2001,33.6682,76.4662,27,0,0,0,27,0,0.0,0.0,0.0,1.0,28.86,835.84,0,3
Jammu & Kashmir,Crime Srinagar,2001,33.6932,76.4912,69,0,0,0,61,8,0.0,0.0,0.0,0.8841,58.46,835.84,0,3
Jammu & Kashmir,Doda,2001,22.3072,73.1812,627,302,55,21,44,205,0.4817,0.0877,0.0335,0.0702,752.57,835.84,1,8
Jammu & Kashmir,Ganderbal,2001,33.7582,76.5562,395,107,116,40,16,116,0.2709,0.2937,0.1013,0.0405,499.07,835.84,1,3
Jammu & Kashmir,Jammu,2001,33.7132,76.5112,3607,263,1196,97,75,1976,0.0729,0.3316,0.0269,0.0208,3731.14,835.84,0,3
Jammu & Kashmir,Kargil,2001,33.9032,76.7012,82,5,14,1,3,59,0.061,0.1707,0.0122,0.0366,100.14,835.84,0,3
Jammu & Kashmir,Kathua,2001,33.7082,76.5062,817,98,124,44,23,528,0.12,0.1518,0.0539,0.0282,1079.93,835.84,0,3
Jammu & Kashmir,Kulgam,2001,34.0182,76.8162,635,154,122,19,40,300,0.2425,0.1921,0.0299,0.063,681.57,835.84,0,3
Jammu & Kashmir,Kupwara,2001,33.7082,76.5062,1027,523,114,74,32,284,0.5093,0.111,0.0721,0.0312,675.36,835.84,1,3
Jammu & Kashmir,Leh,2001,33.5582,76.3562,137,6,19,1,3,108,0.0438,0.1387,0.0073,0.0219,177.86,835.84,0,3
Jammu & Kashmir,Poonch,2001,33.8532,76.6512,766,349,147,32,46,192,0.4556,0.1919,0.0418,0.0601,759.21,835.84,1,3
Jammu & Kashmir,Pulwama,2001,33.6182,76.4162,883,247,354,33,33,216,0.2797,0.4009,0.0374,0.0374,681.57,835.84,1,3
Jammu & Kashmir,Railways,2001,33.9382,76.7362,17,2,7,0,0,8,0.1176,0.4118,0.0,0.0,533.78,835.84,0,3
Jammu & Kashmir,Rajouri,2001,33.9932,76.7912,965,254,70,50,32,559,0.2632,0.0725,0.0518,0.0332,1422.36,835.84,1,3
Jammu & Kashmir,Ramban,2001,33.6332,76.4312,537,137,35,9,22,334,0.2551,0.0652,0.0168,0.041,665.64,835.84,1,3
Jammu & Kashmir,Reasi,2001,33.5782,76.3762,389,140,52,19,14,164,0.3599,0.1337,0.0488,0.036,466.21,835.84,1,3
Jammu & Kashmir,Srinagar,2001,33.9132,76.7112,3042,433,1362,225,166,856,0.1423,0.4477,0.074,0.0546,2789.86,835.84,0,3
Jammu & Kashmir,Udhampur,2001,34.0182,76.8162,1010,103,304,43,14,546,0.102,0.301,0.0426,0.0139,1050.71,835.84,0,3
Jharkhand,Bokaro,2001,23.7552,85.4249,1936,403,978,146,30,379,0.2082,0.5052,0.0754,0.0155,2659.07,1478.84,0,2
Jharkhand,Chaibasa,2001,23.6402,85.3099,669,240,236,70,27,96,0.3587,0.3528,0.1046,0.0404,878.07,1478.84,1,2
Jharkhand,Chatra,2001,23.8152,85.4849,748,108,190,25,14,411,0.1444,0.254,0.0334,0.0187,929.5,1478.84,0,2
Jharkhand,Deoghar,2001,23.6502,85.3199,1106,436,324,77,25,244,0.3942,0.2929,0.0696,0.0226,1672.14,1478.84,1,2
Jharkhand,Dhanbad,2001,23.4652,85.1349,2916,679,1295,159,91,692,0.2329,0.4441,0.0545,0.0312,3772.93,1478.84,0,2
Jharkhand,Dhanbad Rly.,2001,23.4652,85.1349,487,44,427,4,8,4,0.0903,0.8768,0.0082,0.0164,403.0,1478.84,0,2
Jharkhand,Dumka,2001,23.8202,85.4899,1016,431,180,100,24,281,0.4242,0.1772,0.0984,0.0236,1420.86,1478.84,1,2
Jharkhand,Garhwa,2001,23.4552,85.1249,788,215,140,42,27,364,0.2728,0.1777,0.0533,0.0343,1416.86,1478.84,1,2
Jharkhand,Giridih,2001,23.4852,85.1549,1918,285,338,184,70,1041,0.1486,0.1762,0.0959,0.0365,2649.29,1478.84,0,2
Jharkhand,Godda,2001,23.5752,85.2449,1030,163,206,75,3,583,0.1583,0.2,0.0728,0.0029,1609.36,1478.84,0,2
Jharkhand,Gumla,2001,23.5002,85.1699,658,267,143,70,7,171,0.4058,0.2173,0.1064,0.0106,892.21,1478.84,1,2
Jharkhand,Hazaribagh,2001,23.5352,85.2049,2498,834,846,146,59,613,0.3339,0.3387,0.0584,0.0236,2693.86,1478.84,1,2
Jharkhand,Jamshedpur,2001,23.8202,85.4899,2712,514,820,252,123,1003,0.1895,0.3024,0.0929,0.0454,3374.57,1478.84,0,2
Jharkhand,Jamshedpur Rly.,2001,23.3802,85.0499,154,14,133,3,3,1,0.0909,0.8636,0.0195,0.0195,316.62,1478.84,0,2
Jharkhand,Jamtara,2001,23.6302,85.2999,510,243,157,74,13,23,0.4765,0.3078,0.1451,0.0255,675.86,1478.84,1,2
Jharkhand,Koderma,2001,23.8052,85.4749,667,114,181,52,20,300,0.1709,0.2714,0.078,0.03,957.29,1478.84,0,2
Jharkhand,Latehar,2001,23.6402,85.3099,380,131,109,30,0,110,0.3447,0.2868,0.0789,0.0,545.14,1478.84,1,2
Jharkhand,Lohardagga,2001,23.8352,85.5049,311,95,70,38,8,100,0.3055,0.2251,0.1222,0.0257,511.86,1478.84,1,2
Jharkhand,Pakur,2001,23.4152,85.0849,483,85,87,71,26,214,0.176,0.1801,0.147,0.0538,735.0,1478.84,0,2
Jharkhand,Palamu,2001,23.5902,85.2599,1461,577,259,84,28,513,0.3949,0.1773,0.0575,0.0192,1862.36,1478.84,1,2
Jharkhand,Ranchi,2001,23.4002,85.0699,2129,574,1296,252,65,0,0.2696,0.6087,0.1184,0.0305,4054.5,1478.84,1,2
Jharkhand,Sahebganj,2001,23.5702,85.2399,628,180,185,87,29,147,0.2866,0.2946,0.1385,0.0462,1001.5,1478.84,1,2
Jharkhand,Saraikela,2001,23.5452,85.2149,692,223,289,56,17,107,0.3223,0.4176,0.0809,0.0246,907.36,1478.84,1,2
Jharkhand,Simdega,2001,23.4902,85.1599,247,128,31,35,2,51,0.5182,0.1255,0.1417,0.0081,382.86,1478.84,1,2
Karnataka,Bagalkot,2001,15.1423,75.5389,1710,457,257,94,30,872,0.2673,0.1503,0.055,0.0175,2085.21,3861.99,1,1
Karnataka,Bangalore Commr.,2001,12.9716,77.5946,27254,4932,14694,572,1711,5345,0.181,0.5392,0.021,0.0628,29768.46,3861.99,1,5
Karnataka,Bangalore Rural,2001,13.0827,77.5877,5209,1451,1471,269,99,1919,0.2786,0.2824,0.0516,0.019,6394.15,3861.99,1,5
Karnataka,Belgaum,2001,15.8497,74.4977,5053,1299,984,207,127,2436,0.2571,0.1947,0.041,0.0251,6176.23,3861.99,1,1
Karnataka,Bellary,2001,15.3773,75.7739,3229,862,785,168,32,1382,0.267,0.2431,0.052,0.0099,3470.92,3861.99,1,1
Karnataka,Bidar,2001,15.5473,75.9439,4371,1208,558,157,54,2394,0.2764,0.1277,0.0359,0.0124,3835.29,3861.99,1,1
Karnataka,Bijapur,2001,15.1273,75.5239,2941,871,512,170,53,1335,0.2962,0.1741,0.0578,0.018,3119.69,3861.99,1,1
Karnataka,Chamarajnagar,2001,15.3773,75.7739,1390,538,338,73,35,406,0.3871,0.2432,0.0525,0.0252,1569.57,3861.99,1,1
Karnataka,Chickmagalur,2001,15.3073,75.7039,2766,991,592,160,30,993,0.3583,0.214,0.0578,0.0108,2881.54,3861.99,1,1
Karnataka,Chitradurga,2001,15.2373,75.6339,2691,806,405,121,30,1329,0.2995,0.1505,0.045,0.0111,3780.71,3861.99,1,1
Karnataka,Dakshin Kannada,2001,15.2273,75.6239,3047,507,652,56,67,1765,0.1664,0.214,0.0184,0.022,3410.08,3861.99,0,1
Karnataka,Davanagere,2001,15.4473,75.8439,3301,865,910,213,47,1266,0.262,0.2757,0.0645,0.0142,3117.5,3861.99,1,1
Karnataka,Dharwad Commr.,2001,15.4589,75.0078,1902,286,649,37,63,867,0.1504,0.3412,0.0195,0.0331,2015.85,3861.99,0,1
Karnataka,Dharwad Rural,2001,15.4589,75.0078,899,183,106,25,14,571,0.2036,0.1179,0.0278,0.0156,1100.46,3861.99,0,1
Karnataka,Gadag,2001,15.2073,75.6039,899,230,165,35,24,445,0.2558,0.1835,0.0389,0.0267,1044.43,3861.99,1,1
Karnataka,Gulbarga,2001,17.3297,76.8343,4169,1473,782,293,93,1528,0.3533,0.1876,0.0703,0.0223,4738.77,3861.99,1,1
Karnataka,Hassan,2001,15.2273,75.6239,4039,1678,698,187,17,1459,0.4154,0.1728,0.0463,0.0042,4868.29,3861.99,1,1
Karnataka,Haveri,2001,15.5423,75.9389,2211,479,307,85,20,1320,0.2166,0.1389,0.0384,0.009,2106.14,3861.99,0,1
Karnataka,K.G.F.,2001,15.4423,75.8389,906,335,310,38,12,211,0.3698,0.3422,0.0419,0.0132,889.71,3861.99,1,1
Karnataka,Kodagu,2001,15.1573,75.5539,1301,423,279,48,9,542,0.3251,0.2145,0.0369,0.0069,1612.57,3861.99,1,1
Karnataka,Kolar,2001,15.4823,75.8789,3230,879,724,133,48,1446,0.2721,0.2241,0.0412,0.0149,2708.36,3861.99,1,1
Karnataka,Koppal,2001,15.4823,75.8789,1406,370,311,80,26,619,0.2632,0.2212,0.0569,0.0185,1626.21,3861.99,1,1
Karnataka,Mandya,2001,15.1123,75.5089,4807,1596,851,159,30,2171,0.332,0.177,0.0331,0.0062,4832.36,3861.99,1,1
Karnataka,Mysore Commr.,2001,12.2958,76.6394,1903,480,761,69,52,541,0.2522,0.3999,0.0363,0.0273,2644.23,3861.99,1,7
Karnataka,Mysore Rural,2001,15.1723,75.5689,2900,1221,567,160,15,937,0.421,0.1955,0.0552,0.0052,3334.23,3861.99,1,1
Karnataka,Raichur,2001,15.4623,75.8589,2384,724,437,140,109,974,0.3037,0.1833,0.0587,0.0457,2843.86,3861.99,1,1
Karnataka,Railways,2001,15.4773,75.8739,736,45,671,3,2,15,0.0611,0.9117,0.0041,0.0027,533.78,3861.99,0,1
Karnataka,Shimoga,2001,15.2973,75.6939,4178,1297,790,229,51,1811,0.3104,0.1891,0.0548,0.0122,4813.07,3861.99,1,1
Karnataka,Tumkur,2001,15.4373,75.8339,4141,1318,1015,137,95,1576,0.3183,0.2451,0.0331,0.0229,4674.31,3861.99,1,1
Karnataka,Udupi,2001,15.4773,75.8739,1959,351,317,36,20,1235,0.1792,0.1618,0.0184,0.0102,2361.21,3861.99,0,1
Karnataka,Uttar Kannada,2001,15.2673,75.6639,2319,484,232,72,15,1516,0.2087,0.1,0.031,0.0065,2550.46,3861.99,0,1
Kerala,Alapuzha,2001,10.8705,76.2911,7319,1465,617,310,187,4740,0.2002,0.0843,0.0424,0.0255,8287.07,6956.6,1,7
Kerala,Cbcid,2001,10.8355,76.2561,250,40,15,8,38,149,0.16,0.06,0.032,0.152,191.29,6956.6,0,7
Kerala,Ernakulam,2001,10.9455,76.3661,14843,2019,3120,402,292,9010,0.136,0.2102,0.0271,0.0197,15258.0,6956.6,1,7
Kerala,Idukki,2001,10.9005,76.3211,5421,1809,748,340,88,2436,0.3337,0.138,0.0627,0.0162,5225.29,6956.6,1,7
Kerala,Kannur,2001,10.6755,76.0961,5888,1306,703,318,189,3372,0.2218,0.1194,0.054,0.0321,6071.14,6956.6,1,7
Kerala,Kasargod,2001,10.7755,76.1961,3116,719,422,122,55,1798,0.2307,0.1354,0.0392,0.0177,3680.5,6956.6,0,7
Kerala,Kollam,2001,10.9005,76.3211,9282,2632,916,663,183,4888,0.2836,0.0987,0.0714,0.0197,9757.1,6956.6,1,7
Kerala,Kottayam,2001,11.0855,76.5061,7082,1918,1065,253,269,3577,0.2708,0.1504,0.0357,0.038,9133.0,6956.6,1,7
Kerala,Kozhikode,2001,11.2588,75.7804,8394,1180,1304,517,693,4700,0.1406,0.1553,0.0616,0.0826,8570.0,6956.6,1,7
Kerala,Malappuram,2001,10.7305,76.1511,7428,1231,968,685,241,4303,0.1657,0.1303,0.0922,0.0324,9581.14,6956.6,1,7
Kerala,Palakkad,2001,10.8855,76.3061,6516,1814,972,458,226,3046,0.2784,0.1492,0.0703,0.0347,7667.93,6956.6,1,7
Kerala,Pathanamthitta,2001,10.7905,76.2111,4100,1027,402,209,94,2368,0.2505,0.098,0.051,0.0229,5143.57,6956.6,1,7
Kerala,Railways,2001,11.0105,76.4311,448,11,395,2,1,39,0.0246,0.8817,0.0045,0.0022,533.78,6956.6,0,7
Kerala,Thrissur,2001,10.5276,76.2144,10465,1602,1438,507,394,6524,0.1531,0.1374,0.0484,0.0376,10159.3,6956.6,1,7
Kerala,Trivandrum,2001,10.9855,76.4061,11368,2804,1869,675,471,5549,0.2467,0.1644,0.0594,0.0414,12029.0,6956.6,1,7
Kerala,Wayanadu,2001,11.0555,76.4761,2086,522,402,185,103,874,0.2502,0.1927,0.0887,0.0494,2612.0,6956.6,1,7
Madhya Pradesh,Balaghat,2001,22.9584,78.6419,2925,709,681,406,28,1101,0.2424,0.2328,0.1388,0.0096,2756.29,4043.21,0,11
Madhya Pradesh,Barwani,2001,22.9784,78.6619,2008,895,604,172,15,322,0.4457,0.3008,0.0857,0.0075,2154.0,4043.21,1,11
Madhya Pradesh,Betul,2001,23.1484,78.8319,2637,682,691,403,31,830,0.2586,0.262,0.1528,0.0118,3384.64,4043.21,1,11
Madhya Pradesh,Bhind,2001,22.8084,78.4919,3361,1146,789,230,45,1151,0.341,0.2348,0.0684,0.0134,3720.86,4043.21,1,11
Madhya Pradesh,Bhopal,2001,23.2599,77.4126,13708,1045,3554,611,200,8298,0.0762,0.2593,0.0446,0.0146,14256.86,4043.21,1,11
Madhya Pradesh,Bhopal Rly.,2001,23.2599,77.4126,1472,39,1420,12,8,0,0.0265,0.9647,0.0082,0.0054,2207.85,4043.21,0,11
Madhya Pradesh,Chhatarpur,2001,23.0184,78.7019,3361,678,566,389,56,1672,0.2017,0.1684,0.1157,0.0167,4310.21,4043.21,0,11
Madhya Pradesh,Chhindwara,2001,23.1184,78.8019,3672,1271,643,508,93,1157,0.3461,0.1751,0.1383,0.0253,4551.93,4043.21,1,11
Madhya Pradesh,Damoh,2001,22.7384,78.4219,2879,1227,490,407,50,705,0.4262,0.1702,0.1414,0.0174,2865.79,4043.21,1,11
Madhya Pradesh,Datiya,2001,23.1234,78.8069,1866,612,293,107,17,837,0.328,0.157,0.0573,0.0091,2282.85,4043.21,1,11
Madhya Pradesh,Dewas,2001,22.9584,78.6419,5039,788,1721,546,61,1923,0.1564,0.3415,0.1084,0.0121,5976.57,4043.21,1,11
Madhya Pradesh,Dhar,2001,15.4589,75.0078,4910,918,1587,433,53,1919,0.187,0.3232,0.0882,0.0108,5475.86,4043.21,0,1
Madhya Pradesh,Dindori,2001,22.7284,78.4119,821,142,140,97,10,432,0.173,0.1705,0.1181,0.0122,1164.64,4043.21,0,11
Madhya Pradesh,Guna,2001,22.9584,78.6419,6001,1854,1148,667,62,2270,0.3089,0.1913,0.1111,0.0103,3929.93,4043.21,1,11
Madhya Pradesh,Gwalior,2001,26.2183,78.1828,6846,1586,2789,326,106,2039,0.2317,0.4074,0.0476,0.0155,9632.64,4043.21,1,11
Madhya Pradesh,Harda,2001,23.0384,78.7219,746,143,191,127,17,268,0.1917,0.256,0.1702,0.0228,1216.29,4043.21,0,11
Madhya Pradesh,Hoshangabad,2001,23.1584,78.8419,2741,679,825,279,38,920,0.2477,0.301,0.1018,0.0139,3558.0,4043.21,0,11
Madhya Pradesh,Indore,2001,22.7196,75.8577,13063,1778,6290,569,178,4248,0.1361,0.4815,0.0436,0.0136,17902.79,4043.21,1,9
Madhya Pradesh,Indore Rly.,2001,22.7196,75.8577,432,34,389,9,5,0,0.0787,0.9005,0.0208,0.0116,423.23,4043.21,0,9
Madhya Pradesh,Jabalpur,2001,23.1815,79.9864,8333,2517,2370,589,55,2802,0.3021,0.2844,0.0707,0.0066,10225.29,4043.21,1,11
Madhya Pradesh,Jabalpur Rly.,2001,23.1815,79.9864,478,33,442,5,2,0,0.069,0.9247,0.0105,0.0042,752.15,4043.21,0,11
Madhya Pradesh,Jhabua,2001,23.1184,78.8019,3416,1076,701,244,55,1340,0.315,0.2052,0.0714,0.0161,2465.14,4043.21,1,11
Madhya Pradesh,Katni,2001,23.1084,78.7919,2285,952,646,226,34,427,0.4166,0.2827,0.0989,0.0149,2956.36,4043.21,1,11
Madhya Pradesh,Khandwa,2001,22.8834,78.5669,3911,216,891,370,53,2381,0.0552,0.2278,0.0946,0.0136,3474.29,4043.21,0,11
Madhya Pradesh,Khargon,2001,22.9484,78.6319,3499,698,1237,284,33,1247,0.1995,0.3535,0.0812,0.0094,4077.08,4043.21,0,11
Madhya Pradesh,Mandla,2001,22.7384,78.4219,2122,523,422,329,44,804,0.2465,0.1989,0.155,0.0207,1911.57,4043.21,0,11
Madhya Pradesh,Mandsaur,2001,22.8484,78.5319,2616,472,1085,218,54,787,0.1804,0.4148,0.0833,0.0206,3357.79,4043.21,0,11
Madhya Pradesh,Morena,2001,22.8584,78.5419,5229,1258,1509,210,32,2220,0.2406,0.2886,0.0402,0.0061,5130.0,4043.21,1,11
Madhya Pradesh,Narsinghpur,2001,22.9434,78.6269,2311,946,419,358,34,554,0.4093,0.1813,0.1549,0.0147,2776.93,4043.21,1,11
Madhya Pradesh,Neemuch,2001,22.8684,78.5519,2208,478,955,220,50,505,0.2165,0.4325,0.0996,0.0226,2198.14,4043.21,0,11
Madhya Pradesh,Panna,2001,22.7284,78.4119,1921,145,343,242,21,1170,0.0755,0.1786,0.126,0.0109,1807.43,4043.21,0,11
Madhya Pradesh,Raisen,2001,22.8984,78.5819,3009,641,490,422,25,1431,0.213,0.1628,0.1402,0.0083,3823.0,4043.21,0,11
Madhya Pradesh,Rajgarh,2001,23.0634,78.7469,3718,712,571,442,64,1929,0.1915,0.1536,0.1189,0.0172,4586.93,4043.21,0,11
Madhya Pradesh,Ratlam,2001,23.0084,78.6919,3342,673,1169,322,54,1124,0.2014,0.3498,0.0963,0.0162,3695.71,4043.21,0,11
Madhya Pradesh,Rewa,2001,23.0034,78.6869,4603,679,1526,241,54,2103,0.1475,0.3315,0.0524,0.0117,5001.93,4043.21,0,11
Madhya Pradesh,Sagar,2001,23.2134,78.8969,7681,2992,1467,962,107,2153,0.3895,0.191,0.1252,0.0139,7907.64,4043.21,1,11
Madhya Pradesh,Satna,2001,23.1784,78.8619,4763,1008,1578,357,46,1774,0.2116,0.3313,0.075,0.0097,5458.5,4043.21,1,11
Madhya Pradesh,Seoni,2001,22.8884,78.5719,2143,426,444,245,26,1002,0.1988,0.2072,0.1143,0.0121,2540.21,4043.21,0,11
Madhya Pradesh,Shahdol,2001,22.7684,78.4519,4162,585,1244,438,45,1850,0.1406,0.2989,0.1052,0.0108,3434.5,4043.21,0,11
Madhya Pradesh,Shajapur,2001,23.0784,78.7619,3663,910,1449,406,63,835,0.2484,0.3956,0.1108,0.0172,3535.43,4043.21,0,11
Madhya Pradesh,Sheopur,2001,22.7384,78.4219,1053,431,242,114,12,254,0.4093,0.2298,0.1083,0.0114,1254.07,4043.21,1,11
Madhya Pradesh,Shivpuri,2001,23.1434,78.8269,4321,1049,782,356,65,2069,0.2428,0.181,0.0824,0.015,4401.86,4043.21,1,11
Madhya Pradesh,Sidhi,2001,22.8634,78.5469,3508,711,1007,282,48,1460,0.2027,0.2871,0.0804,0.0137,3245.57,4043.21,0,11
Madhya Pradesh,Sihore,2001,22.9134,78.5969,3389,501,1083,298,49,1458,0.1478,0.3196,0.0879,0.0145,3525.85,4043.21,0,11
Madhya Pradesh,Tikamgarh,2001,23.0834,78.7669,3078,1048,498,391,38,1103,0.3405,0.1618,0.127,0.0123,3182.21,4043.21,1,11
Madhya Pradesh,Ujjain,2001,23.1765,75.7885,7641,1166,3600,395,102,2378,0.1526,0.4711,0.0517,0.0133,8210.86,4043.21,1,9
Madhya Pradesh,Umariya,2001,23.0784,78.7619,1849,188,384,134,28,1115,0.1017,0.2077,0.0725,0.0151,1320.15,4043.21,0,11
Madhya Pradesh,Vidisha,2001,23.0934,78.7769,3635,1027,710,538,61,1299,0.2825,0.1953,0.148,0.0168,4338.21,4043.21,1,11
Maharashtra,Ahmednagar,2001,19.7715,75.7339,4391,918,1742,658,103,970,0.2091,0.3967,0.1499,0.0235,6189.5,4538.57,0,9
Maharashtra,Akola,2001,19.8715,75.8339,4020,1021,1768,330,107,794,0.254,0.4398,0.0821,0.0266,4125.21,4538.57,1,9
Maharashtra,Amravati Commr.,2001,19.9615,75.9239,2837,617,1883,154,56,127,0.2175,0.6637,0.0543,0.0197,2784.5,4538.57,0,9
Maharashtra,Amravati Rural,2001,19.8215,75.7839,3745,1074,2421,279,54,0,0.2868,0.6465,0.0745,0.0144,4302.43,4538.57,1,9
Maharashtra,Aurangabad Commr.,2001,19.8762,75.3433,2351,517,1245,167,111,311,0.2199,0.5296,0.071,0.0472,3230.43,4538.57,0,9
Maharashtra,Aurangabad Rural,2001,19.9115,75.8739,2708,949,739,362,59,599,0.3504,0.2729,0.1337,0.0218,3163.07,4538.57,1,9
Maharashtra,Beed,2001,19.6065,75.5689,3644,1253,1262,301,79,749,0.3439,0.3463,0.0826,0.0217,4194.14,4538.57,1,9
Maharashtra,Bhandara,2001,19.8215,75.7839,2252,474,999,214,74,491,0.2105,0.4436,0.095,0.0329,2329.29,4538.57,0,9
Maharashtra,Buldhana,2001,19.6415,75.6039,3701,918,1725,420,115,523,0.248,0.4661,0.1135,0.0311,3976.14,4538.57,0,9
Maharashtra,Chandrapur,2001,19.8215,75.7839,3123,681,1397,334,74,637,0.2181,0.4473,0.1069,0.0237,3815.36,4538.57,0,9
Maharashtra,Dhule,2001,19.8865,75.8489,2040,447,816,182,58,537,0.2191,0.4,0.0892,0.0284,2507.43,4538.57,0,9
Maharashtra,Gadchiroli,2001,19.7565,75.7189,1364,360,375,166,63,400,0.2639,0.2749,0.1217,0.0462,1198.0,4538.57,1,9
Maharashtra,Gondia,2001,19.5815,75.5439,2006,444,890,215,50,407,0.2213,0.4437,0.1072,0.0249,1959.79,4538.57,0,9
Maharashtra,Hingoli,2001,19.6515,75.6139,1841,597,601,220,53,370,0.3243,0.3265,0.1195,0.0288,1697.64,4538.57,1,9
Maharashtra,Jalgaon,2001,19.7315,75.6939,4014,931,1352,508,141,1082,0.2319,0.3368,0.1266,0.0351,4841.5,4538.57,0,9
Maharashtra,Jalna,2001,19.7165,75.6789,2529,826,899,265,76,463,0.3266,0.3555,0.1048,0.0301,2836.21,4538.57,1,9
Maharashtra,Kolhapur,2001,19.6715,75.6339,3162,694,1421,197,91,759,0.2195,0.4494,0.0623,0.0288,3877.64,4538.57,0,9
Maharashtra,Latur,2001,19.8315,75.7939,3044,1131,719,252,73,869,0.3716,0.2362,0.0828,0.024,3444.21,4538.57,1,9
Maharashtra,Mumbai,2001,18.922,72.8347,32900,5189,25991,744,1276,0,0.1577,0.79,0.0226,0.0388,31465.0,4538.57,1,9
Maharashtra,Mumbai Rly.,2001,19.6465,75.6089,3651,86,3515,9,34,7,0.0236,0.9627,0.0025,0.0093,3830.54,4538.57,0,9
Maharashtra,Nagpur Commr.,2001,21.1458,79.0882,9912,1630,6720,378,278,906,0.1644,0.678,0.0381,0.028,8876.57,4538.57,1,9
Maharashtra,Nagpur Rly.,2001,19.8415,75.8039,1625,68,1526,10,9,12,0.0418,0.9391,0.0062,0.0055,2019.23,4538.57,0,9
Maharashtra,Nagpur Rural,2001,19.6665,75.6289,5680,1325,2649,437,118,1151,0.2333,0.4664,0.0769,0.0208,4486.93,4538.57,1,9
Maharashtra,Nanded,2001,19.9715,75.9339,5348,1837,1504,354,195,1458,0.3435,0.2812,0.0662,0.0365,5152.43,4538.57,1,9
Maharashtra,Nandurbar,2001,19.5415,75.5039,1079,325,332,139,17,266,0.3012,0.3077,0.1288,0.0158,1359.0,4538.57,1,9
Maharashtra,Nasik Commr.,2001,19.8865,75.8489,2195,338,1321,139,80,317,0.154,0.6018,0.0633,0.0364,3669.29,4538.57,0,9
Maharashtra,Nasik Rural,2001,19.9065,75.8689,4880,1183,1174,498,123,1902,0.2424,0.2406,0.102,0.0252,5029.64,4538.57,1,9
Maharashtra,Navi Mumbai,2001,19.5315,75.4939,3063,537,2161,119,151,95,0.1753,0.7055,0.0389,0.0493,4617.29,4538.57,0,9
Maharashtra,Osmanabad,2001,19.6415,75.6039,2702,1019,887,188,60,548,0.3771,0.3283,0.0696,0.0222,2868.93,4538.57,1,9
Maharashtra,Parbhani,2001,19.5665,75.5289,2475,1165,603,228,73,406,0.4707,0.2436,0.0921,0.0295,2769.5,4538.57,1,9
Maharashtra,Pune Commr.,2001,18.5204,73.8567,8936,1339,5856,315,363,1063,0.1498,0.6553,0.0353,0.0406,12831.43,4538.57,1,9
Maharashtra,Pune Rly.,2001,19.7565,75.7189,630,22,604,3,3,0,0.0349,0.9587,0.0048,0.0048,649.54,4538.57,0,9
Maharashtra,Pune Rural,2001,19.6315,75.5939,4380,844,1571,318,74,1573,0.1927,0.3587,0.0726,0.0169,6693.21,4538.57,0,9
Maharashtra,Raigad,2001,19.7865,75.7489,2218,403,792,125,54,844,0.1817,0.3571,0.0564,0.0243,2246.21,4538.57,0,9
Maharashtra,Ratnagiri,2001,19.9015,75.8639,1431,290,609,114,37,381,0.2027,0.4256,0.0797,0.0259,1468.36,4538.57,0,9
Maharashtra,Sangli,2001,19.5815,75.5439,2999,750,1255,226,102,666,0.2501,0.4185,0.0754,0.034,3002.36,4538.57,1,9
Maharashtra,Satara,2001,19.8865,75.8489,3465,615,1194,305,115,1236,0.1775,0.3446,0.088,0.0332,4346.29,4538.57,0,9
Maharashtra,Sindhudurg,2001,19.7465,75.7089,821,199,337,42,24,219,0.2424,0.4105,0.0512,0.0292,811.5,4538.57,0,9
Maharashtra,Solapur Commr.,2001,19.8765,75.8389,1567,345,777,115,52,278,0.2202,0.4959,0.0734,0.0332,1773.5,4538.57,0,9
Maharashtra,Solapur Rural,2001,19.7715,75.7339,3145,877,864,206,59,1139,0.2789,0.2747,0.0655,0.0188,4144.57,4538.57,1,9
Maharashtra,Thane Commr.,2001,19.2183,72.9781,7200,1851,4570,365,481,0,0.2571,0.6347,0.0507,0.0668,9597.86,4538.57,1,9
Maharashtra,Thane Rural,2001,19.5965,75.5589,3780,988,1542,316,113,821,0.2614,0.4079,0.0836,0.0299,5168.0,4538.57,1,9
Maharashtra,Wardha,2001,19.8415,75.8039,3443,896,1450,266,56,775,0.2602,0.4211,0.0773,0.0163,3827.07,4538.57,1,9
Maharashtra,Washim,2001,19.5515,75.5139,1826,499,939,216,27,145,0.2733,0.5142,0.1183,0.0148,2155.71,4538.57,1,9
Maharashtra,Yavatmal,2001,19.9265,75.8889,4157,1200,1808,426,70,653,0.2887,0.4349,0.1025,0.0168,5817.07,4538.57,1,9
